Número do Bem,Motivo
8444406945625,Falha na requisição HTTP
8047200397176,Falha na requisição HTTP
8444419594478,Falha na requisição HTTP
8444413728987,Falha na requisição HTTP
1787700484243,Falha na requisição HTTP
8444407974718,Falha na requisição HTTP
8444414031920,Falha na requisição HTTP
8444415702608,Falha na requisição HTTP
8444405955805,Falha na requisição HTTP
10211798,Falha na requisição HTTP
8444405303867,Falha na requisição HTTP
8444404698531,Falha na requisição HTTP
1444402120453,Falha na requisição HTTP
1555535100919,Falha na requisição HTTP
8164520071634,Falha na requisição HTTP
8444409702960,Falha na requisição HTTP
1444408982970,Falha na requisição HTTP
1049520090550,Falha na requisição HTTP
10178537,Falha na requisição HTTP
10187216,Falha na requisição HTTP
1555505525156,Falha na requisição HTTP
10176094,Falha na requisição HTTP
1444420409877,Falha na requisição HTTP
10171634,Falha na requisição HTTP
1444405797675,Falha na requisição HTTP
8444414097905,Falha na requisição HTTP
1444402718740,Falha na requisição HTTP
8787704815803,Falha na requisição HTTP
8444400380146,Falha na requisição HTTP
8787717095774,Falha na requisição HTTP
8787713950386,Falha na requisição HTTP
8444401220002,Falha na requisição HTTP
8787714876708,Falha na requisição HTTP
8444433739844,Falha na requisição HTTP
10195443,Falha na requisição HTTP
10211903,Falha na requisição HTTP
10214178,Falha na requisição HTTP
8444420643932,Falha na requisição HTTP
8444425102158,Falha na requisição HTTP
8787712278021,Falha na requisição HTTP
8444423147502,Falha na requisição HTTP
8444408870452,Falha na requisição HTTP
8787713300098,Falha na requisição HTTP
8444418354082,Falha na requisição HTTP
8787706685915,Falha na requisição HTTP
8444409574210,Falha na requisição HTTP
8444418268577,Falha na requisição HTTP
8555534400631,Falha na requisição HTTP
8555534008081,Falha na requisição HTTP
8444417094702,Falha na requisição HTTP
8444423999312,Falha na requisição HTTP
8444428790900,Falha na requisição HTTP
10209506,Falha na requisição HTTP
10213311,Falha na requisição HTTP
8444421384299,Falha na requisição HTTP
8787710883289,Falha na requisição HTTP
8444404479775,Falha na requisição HTTP
8555524040608,Falha na requisição HTTP
8555534722736,Falha na requisição HTTP
8444401494994,Falha na requisição HTTP
8444430102292,Falha na requisição HTTP
8787703064430,Falha na requisição HTTP
8787708036752,Falha na requisição HTTP
8444431785547,Falha na requisição HTTP
8787712327006,Falha na requisição HTTP
8555527825037,Falha na requisição HTTP
8555531555707,Falha na requisição HTTP
8444402708211,Falha na requisição HTTP
8787710434212,Falha na requisição HTTP
8444405070617,Falha na requisição HTTP
8444418937630,Falha na requisição HTTP
8444408503506,Falha na requisição HTTP
8444418082635,Falha na requisição HTTP
8444422776328,Falha na requisição HTTP
8787714498487,Falha na requisição HTTP
8787700993405,Falha na requisição HTTP
8444423631005,Falha na requisição HTTP
8444429838698,Falha na requisição HTTP
8444423699165,Falha na requisição HTTP
8444420381059,Falha na requisição HTTP
8444410982300,Falha na requisição HTTP
8444432782347,Falha na requisição HTTP
8444406870870,Falha na requisição HTTP
8044200429901,Falha na requisição HTTP
8444405711710,Falha na requisição HTTP
8306300006227,Falha na requisição HTTP
8444421504588,Falha na requisição HTTP
8444413312136,Falha na requisição HTTP
8787702447831,Falha na requisição HTTP
8444413299008,Falha na requisição HTTP
8787712821086,Falha na requisição HTTP
8444416757961,Falha na requisição HTTP
8787711472193,Falha na requisição HTTP
8555514584338,Falha na requisição HTTP
8444420046756,Falha na requisição HTTP
8444422817881,Falha na requisição HTTP
8787711933115,Falha na requisição HTTP
8787714130404,Falha na requisição HTTP
8444424434629,Falha na requisição HTTP
8555514542600,Falha na requisição HTTP
8444426767935,Falha na requisição HTTP
8555518780891,Falha na requisição HTTP
8444423625005,Falha na requisição HTTP
8444433829428,Falha na requisição HTTP
8787714148435,Falha na requisição HTTP
8444432626671,Falha na requisição HTTP
8787711205497,Falha na requisição HTTP
8444426128983,Falha na requisição HTTP
8444404207686,Falha na requisição HTTP
8787709538042,Falha na requisição HTTP
8555518329294,Falha na requisição HTTP
8444430391367,Falha na requisição HTTP
8787713573477,Falha na requisição HTTP
8444402739125,Falha na requisição HTTP
8787715588803,Falha na requisição HTTP
8787701708054,Falha na requisição HTTP
1444419165196,Falha na requisição HTTP
1444416942418,Falha na requisição HTTP
1444418379079,Falha na requisição HTTP
1444419174438,Falha na requisição HTTP
1444418000177,Falha na requisição HTTP
1555532684286,Falha na requisição HTTP
1444419208065,Falha na requisição HTTP
1444419522746,Falha na requisição HTTP
8444401778623,Falha na requisição HTTP
8444407643851,Falha na requisição HTTP
8555536363784,Falha na requisição HTTP
8444421612259,Falha na requisição HTTP
8444419293710,Falha na requisição HTTP
8787702134531,Falha na requisição HTTP
8444409598063,Falha na requisição HTTP
