
 Lista de Imóveis da Caixa;;Data de geração:;21/11/2025;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8444424236495 ;SC ;BRUSQUE ;DOM JOAQUIM ;RUA BEIRA RIO, N. 530, Apto 302, BL D 3ºPAV ;350.000,00;210.000,00;0.00;Apartamento, 61.56 de área total, 54.88 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444424236495
 1444412125423 ;SC ;BRUSQUE ;DOM JOAQUIM ;RUA LEONARDO AUGUSTO MOREIRA BERGAMASCO, N. 145, LT 9-A ;395.000,00;226.000,00;0.00;Casa, 0.00 de área total, 69.72 de área privativa, 253.90 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444412125423
 1555511556106 ;SC ;CAMBORIU ;LIDIA DUARTE ;RUA DO EMPREENDEDOR, N. 555, CS 03 ;460.000,00;460.000,00;0.00;Casa, 127.08 de área total, 69.60 de área privativa, 127.08 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555511556106
 8555517862851 ;SC ;CHAPECO ;PRESIDENTE MEDICI ;RUA RIO DE JANEIRO - D, N. 2244-D, Apto 402, BL D VG 402 D - RUA JOAO CHEROBIN, 690 ;255.000,00;255.000,00;0.00;Apartamento, 73.41 de área total, 54.34 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555517862851
 8787701441686 ;SC ;CHAPECO ;BOM PASTOR ;RUA JOAO GOULART - D, N. 645D, Apto 202, BL C PAV 2 VG 17C ;321.000,00;321.000,00;0.00;Apartamento, 80.99 de área total, 59.15 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787701441686
 8787711641793 ;SC ;CHAPECO ;DESBRAVADOR ;RUA REGINA MATIELLO TAUFFER, N. 565D, Apto E302, BL E VG E302 ;210.000,00;210.000,00;0.00;Apartamento, 68.32 de área total, 44.10 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787711641793
 8555530899763 ;SC ;CHAPECO ;JARDINS DO VALE ;RUA JACOMO COLPANI, N. 686E, Apto 301, BL G VG 09G ;220.000,00;220.000,00;0.00;Apartamento, 61.45 de área total, 50.71 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555530899763
 1444421913129 ;SC ;COCAL DO SUL ;Monte Carlos ;RUA GERVI BEZ BIROLO, N. 291, LT 07 QD E ;475.000,00;475.000,00;0.00;Casa, 94.66 de área total, 94.66 de área privativa, 383.25 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444421913129
 8444403504601 ;SC ;CONCORDIA ;ITAIBA ;RUA ASURINIS, N. 181, Apto 201, BL 02 ;230.000,00;230.000,00;0.00;Apartamento, 80.64 de área total, 69.89 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444403504601
 8444427569592 ;SC ;CRICIUMA ;VILA RICA ;RUA ANTONIO MACHINSKI, N. 316, LT 08 QD E ;111.816,50;185.000,00;39.56;Terreno, 0.00 de área total, 0.00 de área privativa, 336.49 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444427569592
